term,parameter,crop_num,estimate,std.error,conf_2.5,conf_97.5,rhat,ess,conf_25,conf_75,Year,Session,Date,Run_ID,crop_name,prior_mean,prior_sd
scale_surface[2],scale_surface,2,5.02524960011712,1.26359298265858,3.06053051128526,8.0010073429756,0.999914506339665,20000,4.15126102719874,5.69573412343233,2011,4,2011-08-03,_current,Switchgrass,6,5
scale_surface[3],scale_surface,3,6.14443479050815,2.4690923280803,2.14545048066164,11.8537750435307,1.0002457209208,20000,4.40262049715491,7.543308396206,2011,4,2011-08-03,_current,Miscanthus,6,5
scale_surface[4],scale_surface,4,3.71507140362336,1.14822720697978,1.88397638453865,6.34641507939795,1.00027370368309,16615,2.92022755377661,4.34917875039042,2011,4,2011-08-03,_current,Prairie,6,5
sig_tube,sig_tube,NA,0.505637450561247,0.0546743118603945,0.40506163904276,0.619472609274021,1.00041897307274,10218,0.467731029806346,0.540760445845234,2011,4,2011-08-03,_current,NA,0,3
sigma[1],sigma,1,1.56373885057979,0.0576238611388033,1.45531339886996,1.68089299874385,0.999984195001202,20000,1.52433470562838,1.60164240314939,2011,4,2011-08-03,_current,Maize-Soybean,0,3
sigma[2],sigma,2,1.42494777107643,0.052618096066747,1.32622785670635,1.53293785905999,0.999917600843523,20000,1.3887404221973,1.45936964807205,2011,4,2011-08-03,_current,Switchgrass,0,3
sigma[3],sigma,3,1.36153810423703,0.0497739103631045,1.26854269289693,1.46391466450919,0.999846188756169,20000,1.32693696442404,1.39421526848067,2011,4,2011-08-03,_current,Miscanthus,0,3
sigma[4],sigma,4,1.29482457417055,0.0457781214434799,1.20754691121133,1.38792312808382,0.999826444905502,20000,1.26354214502487,1.32487396790868,2011,4,2011-08-03,_current,Prairie,0,3
b_depth[1],b_depth,1,-0.483140490356726,0.143603634364533,-0.807531877786136,-0.242493868230826,1.00028145167366,9237,-0.568063580942827,-0.382874459665585,2012,1,2012-05-21,_current,Maize-Soybean,-1,5
b_depth[2],b_depth,2,-1.05322460412957,0.195474967167374,-1.45059141379046,-0.682931369052146,0.999911659038437,20000,-1.18199094229657,-0.919068816690105,2012,1,2012-05-21,_current,Switchgrass,-1,5
b_depth[3],b_depth,3,-0.52105330681753,0.196373974277518,-0.921111385243224,-0.153676300818901,1.00016467738457,14005,-0.649746882463638,-0.386823215765174,2012,1,2012-05-21,_current,Miscanthus,-1,5
b_depth[4],b_depth,4,-1.15601751927861,0.179490591855479,-1.52546494539815,-0.815852845526982,1.00006268977619,20000,-1.27350740894854,-1.03441915863322,2012,1,2012-05-21,_current,Prairie,-1,5
intercept[1],intercept,1,-7.40962692013719,0.268811314262733,-7.9578526658914,-6.90328385015772,1.00132618944755,3339,-7.58414219067633,-7.22353960145492,2012,1,2012-05-21,_current,Maize-Soybean,-6,6
intercept[2],intercept,2,-5.32582603462254,0.227835465503794,-5.7733302750366,-4.87773170119657,1.00044696189403,4060,-5.48125220620483,-5.17241969205837,2012,1,2012-05-21,_current,Switchgrass,-6,6
intercept[3],intercept,3,-6.15058012082614,0.235605631372941,-6.63002333494296,-5.70075806943864,1.00130283157349,3706,-6.30079976611843,-5.99175587307865,2012,1,2012-05-21,_current,Miscanthus,-6,6
intercept[4],intercept,4,-5.57477946654744,0.20821476740636,-5.9849560042156,-5.17805501362856,1.00090298515426,3773,-5.71372446604918,-5.43447102207202,2012,1,2012-05-21,_current,Prairie,-6,6
loc_detect,loc_detect,NA,-6.33523849083319,0.0955163233461516,-6.52779848449888,-6.1539373413393,1.00094551636302,6424,-6.39914759229365,-6.26960173969322,2012,1,2012-05-21,_current,NA,-8,10
loc_surface[1],loc_surface,1,0.538662293678749,6.92532679275067,-13.2160045729809,15.648843789434,1.00007002078426,10908,-3.50155252796504,3.98094191728612,2012,1,2012-05-21,_current,Maize-Soybean,13,10
loc_surface[2],loc_surface,2,19.507652659703,2.90756267966557,13.9790332529265,25.4725902518548,0.999921322638135,15048,17.5195520342767,21.4276803559895,2012,1,2012-05-21,_current,Switchgrass,13,10
loc_surface[3],loc_surface,3,17.7551709612334,4.8668517444504,7.76469135528882,27.0905622649189,1.00011079463339,13578,14.7128287260341,20.9290128635399,2012,1,2012-05-21,_current,Miscanthus,13,10
loc_surface[4],loc_surface,4,19.6284468727607,2.59395981132469,14.6623991245814,24.913829081614,1.00001973839027,16562,17.8787892892211,21.3198256970966,2012,1,2012-05-21,_current,Prairie,13,10
scale_detect,scale_detect,NA,0.796932388107781,0.0844994761407585,0.641664503580132,0.972266672854691,1.0013178716562,3928,0.738736810701347,0.852253980459191,2012,1,2012-05-21,_current,NA,0,6
scale_surface[1],scale_surface,1,6.84400138516308,4.49970274610137,0.464248645059911,17.0081383506633,1.00011289233142,11974,3.20436489958247,9.73065990307725,2012,1,2012-05-21,_current,Maize-Soybean,6,5
scale_surface[2],scale_surface,2,4.24486906436171,0.758669275289501,2.96149767496669,5.92630435401643,0.999812154279792,20000,3.72148220295758,4.68949022368931,2012,1,2012-05-21,_current,Switchgrass,6,5
scale_surface[3],scale_surface,3,7.05362814977453,1.79284326384898,4.28870298475654,11.2647448388321,1.00004397191768,20000,5.80359702670463,8.0167408154901,2012,1,2012-05-21,_current,Miscanthus,6,5
scale_surface[4],scale_surface,4,4.40820665168542,0.707754878992837,3.22214982665196,5.98761995805527,0.999890790482596,20000,3.91127714560577,4.82635932421977,2012,1,2012-05-21,_current,Prairie,6,5
sig_tube,sig_tube,NA,0.936367072637928,0.120937174751699,0.723920586784143,1.19466894161009,1.00074581794211,4182,0.852214037580096,1.01308778963771,2012,1,2012-05-21,_current,NA,0,3
sigma[1],sigma,1,2.07188946494281,0.14169877255327,1.81507987760774,2.37068094495207,1.00012418017346,20000,1.97166200011847,2.16431978165871,2012,1,2012-05-21,_current,Maize-Soybean,0,3
